-252,-1123,-3763,1987,4092,1540,-2472,-6795,476,3525,1069,-2742,-6958,46,2897,1717,-1774,-7031,-2944,2616,2789,-510,-4997,-3499,3345,4642,-68,-2807,-2711,376,198,128,-1279,-2872,57,661,337,-1592,-3850,666
1134,-859,-2508,-2493,-719,-1277,717,-206,-1667,672,197,74,-1646,-2727,881,130,616,-658,-2921,508,850,445,-922,-4669,-1519,2072,-443,-2752,-2122,1015,146,145,-2276,-3568,1023,1183,363,-776,-4052,-2724
-1943,-1086,-2533,-893,3052,3416,-1203,-5846,-1961,2112,2244,-1747,-5235,-4128,2718,3755,-1123,-3987,948,3198,502,-1784,-5353,686,3702,821,-2700,-1711,664,1449,-149,-4120,-6690,364,4922,2714,-3298,-3233,699,1798
-1032,-4943,-5754,641,2329,-113,-3803,-4543,2381,3877,424,-3100,-4117,1027,1943,84,-2873,-4595,-1019,-643,935,-2900,-5531,320,3557,1765,-2242,-4381,-593,-925,-744,-330,-4719,-4944,1608,1769,1007,-2530,-3159,3409
930,-1881,-6617,-5957,2313,2880,-404,-4710,-4393,2832,2135,171,-1878,-5099,-1981,3042,1963,-2478,-6542,-4134,-277,-324,-1623,-4512,-3061,502,-443,-777,-3722,-5231,-1809,-1935,128,262,-3591,-1075,789,51,-844,-2658
-103,-110,-90,-69,-109,-359,-1519,-7986,-6633,2119,978,-3217,-8128,-2755,1510,424,-989,-8781,-3529,7894,5207,-3163,-7036,872,3300,-1039,-7842,-8781,526,3589,1950,-4249,-8781,-5252,4015,2818,-2806,-8781,-5935,5768
4050,-3091,-7995,-526,3035,1336,-3151,-7317,-207,4888,3157,-1853,-7862,-6456,4616,4025,193,-4370,-682,3950,1631,-1290,-4983,-2933,1575,915,-1593,-6538,-2631,4596,2682,-2220,-6088,287,2565,378,-2953,-5431,870,3922
1999,202,-1366,1875,-2417,635,-3466,-3630,1942,-1439,-331,-577,-3617,-69,5614,2258,-418,-2864,-5045,-2074,4474,1016,359,-2499,-6933,-2977,4328,2714,-376,-2501,-3762,1153,2710,304,-615,-3110,-5643,-1038,3971,2721
6350,4701,-893,-6154,-3825,2132,4645,2875,1611,-3799,-7400,-5928,3364,4586,464,-1676,-1915,-176,3607,-28,-92,-649,-1687,-833,1688,-2658,1028,-352,-3230,-2948,1508,-1210,63,-1781,-3286,1314,2658,-1768,-448,-2215
-80,-70,-71,-72,-61,-52,-48,-47,-112,-176,-234,-287,-313,-339,-360,-302,-220,-165,-158,-223,-319,-160,-89,-116,-121,-195,-264,-529,-2680,-3397,2612,680,-601,-1877,-1398,4453,369,-702,-4012,-4190
2620,-438,1508,-1795,-340,4411,1494,-432,-3629,-8716,-845,3945,997,-1951,-3021,2954,1443,-316,-2757,-6693,45,6880,2313,-393,-4101,-2140,4985,1272,-246,-3325,-2932,2975,531,-2298,-6331,-4575,4264,2049,-616,-6456
-645,-601,-462,-362,-247,-186,-142,-73,-8,29,53,96,159,315,375,603,-902,-7104,-8781,-8781,-4940,-882,948,2849,2014,2217,1935,1510,750,278,-216,-665,-794,-760,-639,-434,-273,-184,-92,-4
-185,-692,-773,-591,-681,-946,-1274,-2319,-2913,-3264,-3749,3820,8681,8367,1523,-2249,-2191,-521,492,846,853,522,-71,-965,-2213,-3188,-3475,-3442,8681,8681,8333,-490,-3418,-1092,-124,-263,-395,-420,-560,-734
-843,-1339,-1693,-2666,-3484,998,8681,3323,-2391,-1839,-569,-594,-573,-601,-656,-372,-369,-849,-1487,-2275,-2634,-2809,-283,8681,8681,6445,-1813,-3152,-1139,-452,-161,-53,-297,-482,-662,-883,-1371,-1910,-1987,-1809
-1350,-1378,-1508,-761,25,137,16,-189,-472,-591,-510,-88,719,4295,7270,3008,-4200,-8781,-8781,3643,7992,3742,-4226,-4786,2805,8459,5020,-3399,-6103,5314,5592,-2178,-4585,-5315,-1435,2842,691,-625,-1869,-4367
7815,4182,-458,-2148,-5611,5428,1615,-517,-1412,-532,3518,465,-2025,-3075,-3946,6908,4261,-462,-2709,-5109,4105,4518,697,-4020,-5089,302,4322,4266,-3463,-5756,-4993,7165,5238,-832,-3368,-2762,3894,2144,-961,-2476
-1973,3659,3013,-908,-3023,-4427,1250,2828,-259,1286,307,4801,8681,5907,-1515,-5090,-4220,4869,3017,-431,-2453,-5474,4793,4305,1417,-506,-3312,5895,2209,-638,-983,-3746,4537,6259,3276,-2893,-5598,1506,7331,3248
-1342,-3639,2780,3622,-139,-1376,-3388,2513,3044,50,-1490,-2232,-662,4906,2344,-383,-1279,-3402,3954,3012,162,-2080,-4345,4990,6861,3223,-6117,-8781,-8781,3683,3402,884,637,276,4815,3712,-2057,-2644,-2090,2883
3883,-230,-3651,-3479,4227,3987,-1316,-2759,-15,5506,2022,-1937,-2948,24,5864,2299,-1225,-1452,689,5989,3014,-2214,-4785,-2021,5859,3068,-611,-2777,-415,1509,890,-2648,-4415,-843,7515,2671,-1952,-4311,-459,6096
4772,-1979,-5607,-4250,5606,6610,-1129,-3199,247,4037,-3119,-4438,-3422,5973,6643,-31,-4646,-5606,3217,8592,4258,-3718,-5171,2221,6641,3038,-3450,-4013,-3371,6937,5261,194,-5969,4364,978,-1532,-671,697,-441,5991
-23,-32,-34,-12,26,54,73,51,70,-37,-179,-229,-169,0,106,142,172,229,469,962,1890,-2361,-7810,-8781,-8781,-8781,-8781,-3831,-2248,-229,723,324,47,-52,-65,-243,-193,-92,-108,-78
-11,-1,5,-3,-3,-8,-10,-28,-39,-53,-42,-39,0,162,1465,1940,-3793,-8781,-8781,-8781,-8781,-5955,-2242,-1306,113,609,1254,2320,3868,4822,5664,6983,6331,5054,3950,4534,2046,-896,-1730,-764
-8781,-8781,-8781,-8781,-4332,-535,453,1001,760,1149,2574,4595,6109,8681,8681,6736,3744,4393,2220,-1463,-2293,-1148,-241,-179,-370,-529,-608,-583,-393,-181,-29,101,199,241,236,209,145,75,-35,-77
-178,-144,-97,-35,20,86,144,142,130,46,-81,-147,-92,-30,-30,-1,73,265,1210,721,-3783,-8116,-8781,-8781,-8781,-8428,-4534,-1903,-275,451,628,891,2280,3973,5248,6257,8319,8382,5163,2711
-51,-59,-55,-52,-36,-19,81,36,84,-1322,-5324,-8781,-8781,-8781,-8678,-5413,-2750,-1698,-591,4,101,145,404,1454,2825,3695,4544,5476,6147,5516,3370,3027,3183,1312,-743,-1391,-920,-575,-622,-592
74,339,1578,539,-4982,-8781,-8781,-8781,-8574,-5883,-1684,-1272,-962,-84,622,1072,1425,2553,4578,6095,7961,8681,6696,3496,3320,1705,-819,-1574,-902,-284,-239,-411,-654,-752,-680,-424,-100,132,247,250
1,27,34,270,1227,-797,-4284,-7473,-8781,-7563,-5755,-1565,-1376,327,2127,3248,4464,5918,8373,8681,6608,3675,5787,1243,-2983,-2932,-1180,-270,-231,-472,-601,-527,-375,-184,-1,98,153,154,146,109
-44,-44,-61,-70,-57,-46,-14,-21,-37,-55,-60,-43,-64,41,639,-321,-2832,-5764,-8264,-8781,-8767,-7775,-4592,-1782,-1281,-198,1005,1748,2688,4223,5342,7760,7511,5388,3052,2021,-314,-1681,-1140,-435
-41,-67,-92,-83,-46,-11,17,14,0,-47,-98,-97,-80,-44,92,1678,167,-6024,-8781,-8781,-8781,-8359,-4819,-1631,-814,716,957,1584,2670,-498,5527,7173,6380,4934,3637,1190,-1190,-1681,-943,-491
-88,-156,-210,-266,-334,-403,-405,-355,-283,-218,-173,-133,-43,36,123,227,396,1295,3599,170,-5793,-8781,-8781,-8781,-8781,-4867,-1217,-389,771,1299,2076,2607,3306,3670,5089,4175,4252,4530,2785,-371
-10,10,33,60,81,94,82,50,-4,-36,-36,-9,-2,-3,363,2704,-312,-6367,-8781,-8781,-8781,-8391,-4774,-1692,-889,-547,-86,554,1705,3008,4560,5541,6512,5441,4257,2808,1740,-246,-1763,-1721
987,1019,-2788,-7835,-8781,-8781,-8781,-6400,-1866,-541,561,1207,2023,2824,3385,4742,5273,6041,5694,3947,2449,-399,-1973,-1659,-832,-453,-374,-504,-545,-483,-371,-172,43,863,326,389,306,191,79,8
